id,short_desc,severity,failure_impact_type,action_urgency_type,human_failure_impact,human_action_urgency
84084,"need command-line interface to ""Replace With Another Version""",enhancement,non-critical feature request,can wait (low urgency),,
50490,Eclipse 3.0M6 hang on rename of package,blocker,system failure / crash,immediate action required,,
60471,"Eclipse stops responding to mouse, NullPointerException on shutdown",normal,system failure / crash,immediate action required,,
154454,Support camelcase navigation on PDE forms,enhancement,non-critical feature request,can wait (low urgency),,
33079,[JUNIT]Shell.isVisible returns false after shell.setVisible(true) called,normal,user-facing bug,needs attention soon,,
202632,Inconsistent shared library version number inside swt-3.3M5-motif-hpux-PA_RISC.zip,normal,user-facing bug,needs attention soon,,
71771,"[navigation] ""mark occurrences"" for extends/implements clauses",enhancement,non-critical feature request,can wait (low urgency),,
6835,characters צהו and £ doesn't work in Java editor on Swedish keyboard,normal,user-facing bug,needs attention soon,,
7414,SWTException when closing workbench window,normal,system failure / crash,immediate action required,,
94813,ecj bootstrap sets compile properties and then ignores them,trivial,non-critical feature request,can wait (low urgency),,
92961,Table gets focus but shell is not active.,normal,user-facing bug,needs attention soon,,
9191,Walkback in CVS console,normal,user-facing bug,needs attention soon,,
127865,[Preferences] Preference changes not being fired on import,normal,user-facing bug,needs attention soon,,
15104,Unix login error causes unreleated CVS VCM problems,normal,user-facing bug,needs attention soon,,
135551,Main Menus do not wrap,major,user-facing bug,needs attention soon,,
10598,Could not create action --> ClassNotFoundException,normal,system failure / crash,immediate action required,,
282482,AutoBuildJob *always* throws events even if not active?,critical,system failure / crash,immediate action required,,
150486,[ActionSets] Rename Action/Handler,enhancement,non-critical feature request,can wait (low urgency),,
9962,Templates in JavaDoc in 20020214 insert inappropriate spaces,normal,user-facing bug,needs attention soon,,
275013,[target] ease restrictions on software site locations,enhancement,non-critical feature request,can wait (low urgency),,
47875,Java search: too many cascading menus,normal,user-facing bug,needs attention soon,,
43333,Rework build options tab to avoid use of working-set refresh variable,normal,user-facing bug,needs attention soon,,
37719,[EditorMgmt] [ViewMgmt] Unify editors and views,enhancement,non-critical feature request,can wait (low urgency),,
88082,ASTParser#createASTs(..) does not use the given progress monitor,normal,user-facing bug,needs attention soon,,
296018,Allow activating cell editors using the keyboard in variables views.,enhancement,non-critical feature request,can wait (low urgency),,
21980,[View Mgmt] DCR: 4-way sash drag cursor,enhancement,non-critical feature request,can wait (low urgency),,
88473,Starting an external build triggers other external builders,normal,user-facing bug,needs attention soon,,
4228,Widget is disposed error (1GKCZQM),normal,system failure / crash,immediate action required,,
32878,Rollback to Revision,enhancement,non-critical feature request,can wait (low urgency),,
292901,"Confusing ""Target"" group for children filters",normal,user-facing bug,needs attention soon,,
